file_id,filepath
45,src/vs/workbench/api/common/extHostTerminalShellIntegration.ts
46,src/vs/workbench/browser/workbench.contribution.ts
47,src/vs/workbench/contrib/chat/test/browser/promptSytntax/promptValidator.test.ts
48,src/vs/workbench/contrib/terminal/browser/terminalTabbedView.ts
49,src/vs/workbench/contrib/terminal/browser/media/terminal.css
50,src/vs/workbench/contrib/chat/test/browser/chatModelsViewModel.test.ts
51,src/vs/workbench/contrib/terminalContrib/suggest/browser/terminalSymbolIcons.ts
52,src/vs/editor/contrib/quickAccess/browser/gotoLineQuickAccess.ts
53,src/vs/workbench/contrib/mcp/browser/mcpServersView.ts
54,src/vs/workbench/contrib/chat/browser/chatContentParts/toolInvocationParts/chatTerminalToolConfirmationSubPart.ts
55,src/vs/workbench/contrib/welcomeGettingStarted/browser/gettingStarted.ts
56,src/vs/platform/quickinput/browser/tree/quickInputTreeController.ts
57,src/vs/workbench/contrib/chat/browser/chatAttachmentWidgets.ts
58,src/vs/workbench/contrib/terminalContrib/chatAgentTools/test/browser/outputMonitor.test.ts
59,src/vs/workbench/api/common/extHost.protocol.ts
60,src/vs/workbench/api/common/extHostTypes.ts
61,src/vs/workbench/contrib/chat/browser/chatManagement/chatModelsWidget.ts
62,src/vs/workbench/contrib/chat/test/browser/agentSessionViewModel.test.ts
63,src/vs/workbench/contrib/inlineChat/browser/inlineChatSessionServiceImpl.ts
64,src/vs/workbench/api/browser/mainThreadChatAgents2.ts
65,src/vs/workbench/api/browser/mainThreadTerminalShellIntegration.ts
66,src/vs/workbench/contrib/chat/browser/chatResponseAccessibleView.ts
67,src/vs/workbench/api/test/common/extHostTerminalShellIntegration.test.ts
68,src/vs/workbench/contrib/chat/common/languageModels.ts
69,src/vs/workbench/contrib/chat/common/constants.ts
70,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/tools/commandLineAnalyzer/commandLineFileWriteAnalyzer.ts
71,src/vs/workbench/contrib/chat/test/browser/languageModelToolsService.test.ts
72,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/tools/commandLineAnalyzer/commandLineAnalyzer.ts
73,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/tools/commandLineAnalyzer/commandLineAutoApproveAnalyzer.ts
74,src/vs/workbench/contrib/chat/test/common/promptSyntax/service/promptsService.test.ts
75,src/vs/workbench/contrib/terminalContrib/suggest/test/browser/terminalCompletionModel.test.ts
76,extensions/prompt-basics/package.json
77,src/vs/workbench/contrib/terminal/browser/terminal.ts
78,src/vs/workbench/contrib/terminal/browser/terminalService.ts
79,src/vs/workbench/contrib/terminal/browser/terminalTabsChatEntry.ts
80,src/vs/base/browser/ui/hover/hoverWidget.css
81,src/vs/workbench/contrib/chat/test/common/mockChatService.ts
82,src/vs/workbench/contrib/chat/browser/chatManagement/chatManagementEditor.ts
83,src/vs/workbench/api/common/extHostChatSessions.ts
84,src/vs/workbench/contrib/chat/common/tools/runSubagentTool.ts
85,src/vs/workbench/services/suggest/browser/simpleSuggestWidgetRenderer.ts
86,src/vs/workbench/contrib/scm/browser/scmHistory.ts
87,src/vs/workbench/contrib/terminalContrib/chat/browser/terminalChatActions.ts
88,src/vs/workbench/contrib/terminalContrib/chatAgentTools/common/terminalChatAgentToolsConfiguration.ts
89,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/tools/runInTerminalTool.ts
90,extensions/terminal-suggest/src/test/fig.test.ts
91,src/vs/workbench/contrib/chat/browser/modelPicker/modelPickerActionItem.ts
